,Area,Room,Parking,Warehouse,Elevator,Address,Price
649,115.0,2,1,1,1,150,13000000000.0
650,157.0,3,1,1,1,150,18500000000.0
651,145.0,3,1,1,1,68,7541000000.0
652,160.0,3,1,1,1,179,10700000000.0
653,261.0,4,1,1,1,189,26000000000.0
654,145.0,3,1,1,1,189,11000000000.0
655,51.0,1,0,1,1,120,1275000000.0
656,87.0,2,1,1,1,117,490000000.0
657,116.0,2,1,1,1,36,4350000000.0
658,95.0,2,1,1,1,74,2280000000.0
659,75.0,2,1,1,1,74,2250000000.0
660,86.0,2,1,1,1,84,1978000000.0
661,95.0,2,1,1,1,122,4200000000.0
663,88.0,2,1,1,1,176,2024000000.0
664,93.0,2,1,1,1,10,2139000000.0
665,70.0,2,1,1,1,12,1630000000.0
666,140.0,3,1,1,1,135,9800000000.0
667,81.0,2,1,1,1,26,4000000000.0
668,109.0,2,1,1,1,156,3500000000.0
669,122.0,2,1,1,1,14,7000000000.0
670,70.0,1,1,1,1,26,3100000000.0
671,60.0,1,1,1,1,183,2450000000.0
672,53.0,1,1,1,0,40,1920000000.0
673,45.0,1,0,0,0,111,1200000000.0
674,58.0,1,1,1,0,122,1900000000.0
675,140.0,3,1,1,1,36,4400000000.0
676,100.0,2,1,1,1,86,3580000000.0
677,96.0,2,1,1,1,18,3750000000.0
678,79.0,2,1,1,1,40,2850000000.0
679,125.0,3,1,1,1,119,3750000000.0
680,75.0,2,1,1,1,108,3050000000.0
681,145.0,2,1,1,1,18,4500000000.0
682,102.0,2,1,1,0,127,4520000000.0
683,115.0,2,1,1,1,191,4350000000.0
684,140.0,3,1,1,1,119,8500000000.0
685,66.0,1,1,1,1,122,3300000000.0
686,161.0,3,1,1,1,119,8350000000.0
687,102.0,2,1,1,1,119,4500000000.0
688,145.0,4,1,1,1,119,5100000000.0
689,95.0,2,1,1,1,146,2970000000.0
690,78.0,2,1,1,1,115,460000000.0
691,90.0,2,1,1,1,40,3150000000.0
692,66.0,1,1,1,0,111,1090000000.0
693,48.0,1,1,1,1,74,810000000.0
694,85.0,2,1,1,1,156,3200000000.0
695,63.0,1,1,1,1,141,2000000000.0
696,105.0,2,1,1,1,36,1035000000.0
697,55.0,1,1,1,0,84,1090000000.0
698,103.0,2,1,1,1,107,1035000000.0
699,155.0,3,1,1,1,150,10000000000.0
700,101.0,2,1,1,1,162,1035000000.0
701,106.0,2,1,1,0,71,1245000000.0
702,100.0,2,1,1,1,119,1035000000.0
703,77.0,2,1,1,1,156,2650000000.0
704,66.0,2,1,1,1,26,2700000000.0
705,105.0,3,1,1,1,146,3600000000.0
707,118.0,2,1,1,1,156,3900000000.0
708,151.0,3,1,1,1,152,1510000000.0
710,86.0,2,1,1,1,117,500000000.0
711,85.0,2,1,1,1,117,600000000.0
712,86.0,2,1,1,1,117,750000000.0
713,86.0,2,1,1,1,117,600000000.0
714,75.0,2,1,1,1,26,3300000000.0
715,200.0,3,1,1,1,50,20000000000.0
716,46.0,1,1,1,0,13,450000000.0
717,98.0,2,1,1,1,117,570000000.0
718,90.0,2,1,1,1,189,6700000000.0
719,70.0,2,1,1,1,163,2950000000.0
720,40.0,1,1,1,1,13,350000000.0
721,58.0,1,1,1,1,106,2750000000.0
722,90.0,2,1,1,1,11,4590000000.0
723,78.0,2,1,1,1,40,3300000000.0
724,200.0,3,1,1,1,105,20000000000.0
725,82.0,2,1,1,1,39,4200000000.0
726,115.0,3,1,1,1,57,7485000000.0
727,125.0,2,1,1,1,37,11250000000.0
728,107.0,2,1,1,1,118,9200000000.0
729,55.0,1,0,1,0,79,850000000.0
730,50.0,1,1,1,1,141,1500000000.0
731,75.0,2,1,1,1,117,60000000.0
732,420.0,5,1,1,0,13,11000000000.0
733,225.0,4,1,1,0,13,5500000000.0
734,230.0,3,1,1,1,68,13800000000.0
735,147.0,3,1,1,1,44,11500000000.0
736,97.0,2,1,1,1,117,900000000.0
737,145.0,3,1,1,1,37,12300000000.0
738,50.0,1,1,1,0,100,1750000000.0
739,117.0,2,1,1,1,68,6100000000.0
740,72.0,1,1,1,0,13,730000000.0
741,161.0,3,1,1,1,39,13000000000.0
742,400.0,5,1,1,1,43,18500000000.0
743,230.0,3,1,1,1,50,23000000000.0
744,170.0,3,1,1,1,68,7950000000.0
745,58.0,1,1,1,1,183,2050000000.0
746,57.0,1,1,1,1,156,1950000000.0
747,115.0,3,1,1,1,50,8100000000.0
748,50.0,1,1,1,1,120,1200000000.0
749,84.0,2,1,1,0,115,850000000.0
750,78.0,2,0,1,0,152,580000000.0
751,64.0,2,1,1,0,13,960000000.0
752,113.0,2,1,1,1,122,6500000000.0
753,175.0,3,1,1,1,68,9450000000.0
754,111.0,2,1,1,1,68,6050000000.0
755,128.0,3,1,1,1,68,6500000000.0
756,200.0,4,1,1,1,57,14000000000.0
757,131.0,2,1,1,1,135,7980000000.0
758,105.0,3,1,1,1,68,6000000000.0
759,87.0,2,1,1,1,117,650000000.0
760,61.0,2,1,1,0,141,1100000000.0
761,140.0,3,1,1,1,112,6300000000.0
762,185.0,3,1,1,1,190,9000000000.0
763,122.0,2,1,1,1,135,7900000000.0
764,69.0,2,1,1,1,97,3795000000.0
765,95.0,2,1,1,1,122,6700000000.0
766,90.0,2,1,1,1,1,4000000000.0
767,57.0,1,1,1,1,111,1600000000.0
768,400.0,3,1,1,0,11,2000000000.0
769,81.0,2,1,1,0,13,1109700000.0
770,94.0,2,1,1,1,13,1250000000.0
771,134.0,2,1,1,1,76,1608000000.0
772,74.0,2,0,0,1,115,315000000.0
773,44.0,1,1,1,0,13,585000000.0
774,100.0,2,1,1,1,125,3250000000.0
775,175.0,3,1,1,1,150,9300000000.0
776,54.0,2,1,1,0,156,1850000000.0
777,96.0,2,1,1,1,12,2210000000.0
778,90.0,2,1,1,1,79,2400000000.0
779,90.0,2,1,1,1,156,3170000000.0
780,68.0,2,0,0,0,79,1100000000.0
781,68.0,2,0,0,0,79,1100000000.0
782,90.0,2,1,1,1,156,3200000000.0
783,97.0,2,1,1,1,122,4700000000.0
784,78.0,2,1,1,0,122,2730000000.0
785,125.0,3,1,1,1,156,5550000000.0
786,97.0,2,1,1,1,50,5950000000.0
787,100.0,2,1,1,1,50,6200000000.0
788,63.0,2,1,1,1,52,2100000000.0
789,57.0,1,1,1,1,122,2000000000.0
790,80.0,2,1,1,1,131,1390000000.0
791,88.0,2,1,1,1,131,1574000000.0
792,94.0,2,1,1,1,131,1712000000.0
793,109.0,3,1,1,1,52,4230000000.0
794,78.0,2,1,1,1,68,3300000000.0
795,250.0,3,1,1,1,105,32500000000.0
796,140.0,3,1,1,1,68,6800000000.0
797,100.0,2,1,1,1,117,500000000.0
798,95.0,2,1,1,1,146,3150000000.0
799,85.0,2,1,1,1,115,1150000000.0
800,83.0,2,1,1,1,41,2575000000.0
801,100.0,2,1,1,1,118,5500000000.0
802,60.0,2,1,1,1,118,3450000000.0
803,82.0,2,1,1,1,100,3050000000.0
804,150.0,3,1,1,1,24,2800000000.0
805,49.0,1,1,1,0,71,460000000.0
806,216.0,4,1,1,0,13,5700000000.0
808,77.0,2,0,0,0,115,440000000.0
809,63.0,1,1,1,1,146,2080000000.0
810,125.0,3,1,1,0,115,1300000000.0
811,45.0,1,1,1,1,40,1900000000.0
812,135.0,3,1,1,1,123,7500000000.0
813,80.0,2,1,0,1,123,4700000000.0
814,155.0,3,1,1,1,57,9800000000.0
815,125.0,3,1,1,1,122,6300000000.0
816,95.0,2,1,1,1,123,6250000000.0
817,85.0,2,1,1,1,123,4500000000.0
818,110.0,2,1,1,1,123,8100000000.0
819,680.0,5,1,1,0,43,81600000000.0
820,63.0,1,1,1,1,146,2350000000.0
821,60.0,1,1,1,1,135,3600000000.0
822,210.0,3,1,1,1,57,14000000000.0
823,145.0,3,1,1,1,57,11600000000.0
824,171.0,3,1,1,1,75,8900000000.0
825,55.0,1,1,1,1,40,1830000000.0
826,140.0,3,1,1,1,75,7700000000.0
827,147.0,3,1,1,1,75,8700000000.0
828,83.0,2,1,1,1,146,2400000000.0
829,105.0,2,1,1,1,117,514000000.0
830,55.0,1,1,1,1,40,2000000000.0
831,750.0,5,1,1,1,90,75000000000.0
832,62.0,2,1,1,1,122,2100000000.0
833,55.0,1,1,1,1,119,1900000000.0
834,75.0,2,1,1,0,183,1950000000.0
835,95.0,2,1,1,1,183,4200000000.0
836,89.0,2,1,1,1,26,3620000000.0
837,202.0,3,1,1,1,6,7474000000.0
838,51.0,1,1,1,0,163,1720000000.0
839,400.0,1,1,0,0,145,3000000000.0
840,145.0,3,1,1,1,122,7600000000.0
841,115.0,3,1,1,1,122,5000000000.0
842,130.0,3,1,1,1,150,8450000000.0
843,62.0,1,0,1,0,125,950000000.0
844,94.0,2,1,1,1,146,3160000000.0
845,87.0,2,1,1,1,117,726000000.0
846,51.0,2,0,1,1,84,1050000000.0
847,95.0,2,1,1,1,146,2870000000.0
848,80.0,2,1,1,1,74,2150000000.0
849,145.0,3,1,1,1,122,4300000000.0
850,155.0,3,1,1,1,150,9300000000.0
851,88.0,2,1,1,1,42,3940000000.0
852,175.0,3,1,1,1,57,15225000000.0
853,94.0,2,1,1,1,156,4700000000.0
854,89.0,2,1,1,1,43,3300000000.0
855,62.0,2,1,1,0,118,3400000000.0
856,136.0,3,1,1,1,122,7550000000.0
857,60.0,1,1,1,1,52,2450000000.0
858,120.0,3,1,1,1,163,5000000000.0
859,137.0,3,1,1,1,113,1750000000.0
860,160.0,3,1,1,1,150,12500000000.0
861,110.0,2,1,1,1,135,8800000000.0
862,71.0,2,1,1,0,13,940000000.0
863,155.0,3,1,1,1,150,10000000000.0
864,80.0,2,1,1,0,13,1110000000.0
865,84.0,3,1,1,1,13,1590000000.0
866,77.0,2,1,1,1,57,5544000000.0
867,74.0,2,1,1,1,156,4100000000.0
868,130.0,3,1,1,1,146,5400000000.0
869,70.0,2,1,1,1,163,2400000000.0
870,75.0,2,0,1,1,115,389000000.0
871,83.0,2,1,0,1,118,5000000000.0
872,65.0,1,1,1,1,26,3500000000.0
873,62.0,1,0,1,0,125,1100000000.0
874,140.0,3,1,1,1,162,1484000000.0
875,235.0,3,1,1,1,57,25900000000.0
876,102.0,2,1,1,1,57,8100000000.0
877,138.0,3,1,1,1,76,1242000000.0
878,49.0,1,1,1,0,13,380000000.0
879,250.0,3,1,1,0,105,45000000000.0
880,48.0,1,1,1,0,141,995000000.0
881,68.0,2,1,1,0,120,1550000000.0
882,128.0,3,1,1,1,93,5200000000.0
883,60.0,1,1,1,1,120,1380000000.0
884,85.0,2,1,1,1,108,3200000000.0
885,85.0,2,1,1,1,71,565000000.0
886,78.0,2,1,0,0,71,550000000.0
887,38.0,1,1,1,0,120,850000000.0
888,92.0,2,1,0,1,120,2760000000.0
889,95.0,2,1,1,1,156,4650000000.0
890,105.0,3,1,1,1,40,3900000000.0
891,92.0,2,0,0,1,117,550000000.0
892,76.0,2,1,1,0,183,2400000000.0
893,85.0,2,1,1,1,185,1250000000.0
894,161.0,3,1,1,1,57,15350000000.0
895,85.0,2,1,1,1,185,1250000000.0
896,50.0,1,1,0,1,128,750000000.0
897,78.0,2,1,1,1,183,2650000000.0
898,54.0,1,1,1,1,40,2150000000.0
899,100.0,2,1,1,1,146,3800000000.0
900,100.0,2,1,1,1,40,3500000000.0
901,110.0,3,1,1,1,74,2330000000.0
902,57.0,1,1,1,1,40,2050000000.0
903,63.0,2,1,1,0,13,870000000.0
904,100.0,2,1,1,1,111,3600000000.0
905,80.0,1,0,1,0,152,560000000.0
906,115.0,2,1,1,1,40,4200000000.0
